key,zh_cn
confirm,确认
welcome_back_tip,欢迎进入游戏
quick_login_tip,为保证您的数据安全，请尽快绑定账号，以免刷机等原因导致数据丢失
cancel,取消
quick_login,快速游戏
x_second_to_retry,秒后重试
accept,接 受
reject,拒 绝
pay,支 付
please_input_mobile_number,请输入手机号码
please_input_password,请输入密码
login,登 录
account_login,账号登录
register,注册
other_login_methods,其他登录方式
please_input_username/email,请输入用户名/Email
other_login_methods_line,———————————    其他登陆方式    ———————————
no_account?,没有账户?
register_account,注册账号
forget_password,忘记密码
please_input_username,请输入用户名
please_intpu_validate_code,请输入验证码
get_verify_code,获取验证码
next,下一步
please_confirm_password,请确认密码
reset_password,重置密码
error_mobile_number_empty,请输入手机号码，并获取验证码
error_validate_code_empty,请正确输入验证码
error_password_not_equal,两次密码不相同
msg_reset_success,密码重置成功
ok,好的
Congratulations! You Has been successfully upgraded to an official account!,恭喜你！已经成功升级为正式账号!
"Sorry, the device is temporarily unable to use the quick login feature, please log in after register.",抱歉，该设备暂时无法使用快速游戏功能，请注册后登陆。
Please Input Message,请输入内容。
Confirm Submit,确认提交。
Submit Success!,发送成功！
Submit Failed. Please Retry.,发送失败，请重试
Upgrade,升级
User Center,用户中心
User Setting,用户设置
Feedback,客服反馈
Tourist Upgrade,游客升级
Quit Game,退出游戏
Platform ID,平台 ID
Please input your question or suggestion…,请输入您遇到的问题或建议…...
Switch Account,切换账号
